"Participant","V1","Condition","Congruity","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
3,54,"II","Yes",0.471953010559,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.750875852252824
3,56,"II","Yes",0.598684024811,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.513021324535277
3,57,"II","Yes",0.460454130173,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.775542036992898
3,58,"II","No",0.488663911819,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.716080322697712
3,59,"II","No",0.434252023697,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.834130213659922
3,60,"II","Yes",0.447514915466,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.804045411172401
3,61,"II","No",0.5025639534,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.688032376699341
3,62,"II","No",0.476080942154,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.742167392664975
3,63,"II","Yes",0.483257007599,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.727206660017976
3,64,"II","No",0.515057945251,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.663475869597259
3,65,"II","Yes",0.715071153641,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.335373225657658
3,66,"II","Yes",0.521549987793,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.650950155265392
3,67,"II","No",0.50074300766,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.691662268268102
3,68,"II","No",0.613015174866,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.48936558826913
3,69,"II","Yes",0.579876995087,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.544939275369479
3,70,"II","No",0.517020845413,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.65967208533876
3,71,"II","Yes",0.701639080048,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.354336138152734
3,72,"II","Yes",0.459141159058,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.778397580127043
