"Participant","V1","Condition","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
5,71,"II",0.741902065277,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.298538032023177
5,74,"II",0.590039205551,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.52756629420364
5,75,"II",0.594877052307,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.519400529566566
5,77,"II",0.572593164444,"lalt","Middle","Index",24,26,15,22,33,"female",23,"Middle Index",-0.557579824139989
5,79,"II",0.442354822159,"lcmd","Index","Middle",24,26,15,22,33,"female",23,"Index Middle",-0.815642953882365
6,2,"IT",0.861942005158,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.148567289980876
6,3,"IT",0.87860994339,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.129414230192866
6,5,"IT",0.722107028961,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.325581911517537
6,6,"IT",0.845351934433,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.168002247879783
6,8,"IT",0.750739192963,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.286696967209985
6,11,"IT",0.680380105972,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.38510365761217
6,13,"IT",0.914499950409,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.0893778653786648
6,14,"IT",0.725444030762,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.320971355378784
6,16,"IT",0.670010995865,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.40046115499299
6,18,"IT",0.773889112472,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.256326681195949
6,21,"IT",0.680106067657,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.385506511127359
6,23,"IT",0.55286192894,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.592646985053679
6,25,"IT",0.682822084427,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.381520944667213
6,27,"IT",0.820848989487,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.197416121299199
6,30,"IT",0.942235136032,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.0595004219319902
6,31,"IT",1.01695680618,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",0.0168146443650605
6,33,"IT",0.683635902405,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.380329809510387
6,34,"IT",0.709780168533,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.342799978674004
6,36,"IT",0.529290056229,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.636218686939291
6,37,"IT",0.896328020096,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.109448839146069
6,40,"IT",1.05356292725,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",0.0521776840871678
6,41,"IT",0.65864405632,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.417572017381027
6,44,"IT",0.70102186203,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.355216205515161
6,46,"IT",0.73500084877,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.307883624980851
6,50,"IT",0.7135160923,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.337550288290152
6,51,"IT",1.11061682701,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",0.104915560989179
6,52,"IT",0.683396053314,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.380680714392248
6,55,"IT",0.642267799377,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.442749929281972
6,57,"IT",0.852894973755,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.159118864797899
6,58,"IT",0.587409973145,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.532032281905842
6,60,"IT",0.616560983658,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.48359804211663
6,61,"IT",0.603490924835,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.50502427611354
6,66,"IT",0.632922172546,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.457407814561249
6,67,"IT",0.629704189301,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.462505110657418
6,69,"IT",0.698272895813,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.359145284414455
6,71,"IT",0.691309070587,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.36916827505957
6,75,"IT",0.971486902237,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.0289274922555253
6,76,"IT",0.649904966354,"lcmd","Index","Middle",24,26,20,9,27,"female",26,"Index Middle",-0.430929132390767
6,77,"IT",0.731256866455,"lalt","Middle","Index",24,26,20,9,27,"female",26,"Middle Index",-0.312990490456225
8,3,"IT",0.376491069794,"lcmd","Index","Middle",21,23,26,9,29,"male",26,"Index Middle",-0.976860951030129
8,4,"IT",0.44477596283,"lcmd","Index","Middle",21,23,26,9,29,"male",26,"Index Middle",-0.810184577906179
8,6,"IT",0.465296792984,"lalt","Middle","Index",21,23,26,9,29,"male",26,"Middle Index",-0.765079812517204
8,8,"IT",0.452622079849,"lalt","Middle","Index",21,23,26,9,29,"male",26,"Middle Index",-0.792697762507312
8,11,"IT",0.457917070389,"lcmd","Index","Middle",21,23,26,9,29,"male",26,"Index Middle",-0.781067180282577
8,13,"IT",0.356744146347,"lcmd","Index","Middle",21,23,26,9,29,"male",26,"Index Middle",-1.03073643103731
8,15,"IT",0.401763916016,"lalt","Middle","Index",21,23,26,9,29,"male",26,"Middle Index",-0.911890636467837
8,19,"IT",0.427419137955,"lcmd","Index","Middle",21,23,26,9,29,"male",26,"Index Middle",-0.849990159479082
8,20,"IT",0.468042135239,"lcmd","Index","Middle",21,23,26,9,29,"male",26,"Index Middle",-0.759196954555212
8,22,"IT",0.590035867691,"lalt","Middle","Index",21,23,26,9,29,"male",26,"Middle Index",-0.527571951233563
8,24,"IT",0.47137503624,"lalt","Middle","Index",21,23,26,9,29,"male",26,"Middle Index",-0.752101246522155
