"Participant","V1","Condition","Congruity","Response","Correctness","Cue","Finger","Item","Gender","Reaction_time","FS","EC","PT","PD","SS","Age"
9,70,"II","No","lcmd","1","Index","Middle","Index Middle","male",2.65404992934491,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,71,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.327912463031569,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,72,"II","No","lcmd","1","Index","Middle","Index Middle","male",-0.261486491256791,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,73,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.238978378326681,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,74,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.0864733583654044,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,75,"II","No","lalt","1","Middle","Index","Middle Index","male",1.50454480493945,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,76,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.148572028741744,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,77,"II","No","lalt","1","Middle","Index","Middle Index","male",-0.043922346294337,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,78,"II","No","lcmd","1","Index","Middle","Index Middle","male",1.75924909694305,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,79,"II","Yes","lcmd","1","Index","Index","Index Index","male",1.1763759756079,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
10,2,"IT","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.16371320991056,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,3,"IT","No","lcmd","1","Index","Middle","Index Middle","male",0.139599822682837,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,4,"IT","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.649393298105906,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,5,"IT","No","lalt","1","Middle","Index","Middle Index","male",0.388256479395007,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,6,"IT","Yes","lcmd","1","Index","Index","Index Index","male",0.855600993301059,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,7,"IT","No","lcmd","1","Index","Middle","Index Middle","male",1.4094193125842,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,8,"IT","Yes","lalt","1","Middle","Middle","Middle Middle","male",1.14903208710244,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,9,"IT","No","lcmd","1","Index","Middle","Index Middle","male",-0.0450133116202087,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,10,"IT","Yes","lcmd","1","Index","Index","Index Index","male",-0.133576638579213,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,13,"IT","No","lalt","1","Middle","Index","Middle Index","male",-0.0171196788666396,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,14,"IT","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.664285288799925,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,15,"IT","No","lcmd","1","Index","Middle","Index Middle","male",2.05463782751864,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,16,"IT","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.304793822217801,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,17,"IT","No","lalt","1","Middle","Index","Middle Index","male",0.108457741982045,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,19,"IT","No","lcmd","1","Index","Middle","Index Middle","male",1.50263965291151,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,20,"IT","No","lalt","1","Middle","Index","Middle Index","male",-0.311806593978831,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,21,"IT","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.25985879072883,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
10,22,"IT","No","lcmd","1","Index","Middle","Index Middle","male",-0.629242513620768,-2.0277055179382,-2.71892970796211,0.482304150034136,-1.83990367162778,-0.841821474934995,1.29514851823837
