"Participant","V1","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age"
3,53,"II","Yes",0.496055841446,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,54,"II","Yes",0.471953010559,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,55,"II","No",0.49640007019,"lalt",0,"Index","Middle",17,15,26,13,31,0,19
3,56,"II","Yes",0.598684024811,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,57,"II","Yes",0.460454130173,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,58,"II","No",0.488663911819,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,59,"II","No",0.434252023697,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,60,"II","Yes",0.447514915466,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,61,"II","No",0.5025639534,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,62,"II","No",0.476080942154,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,63,"II","Yes",0.483257007599,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,64,"II","No",0.515057945251,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,65,"II","Yes",0.715071153641,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,66,"II","Yes",0.521549987793,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,67,"II","No",0.50074300766,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,68,"II","No",0.613015174866,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,69,"II","Yes",0.579876995087,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,70,"II","No",0.517020845413,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,71,"II","Yes",0.701639080048,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,72,"II","Yes",0.459141159058,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,73,"II","No",0.569721078873,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,74,"II","No",0.531877040863,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,75,"II","Yes",0.787767076492,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,76,"II","No",0.583740091324,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,77,"II","Yes",0.506908130646,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,78,"II","No",0.51676697731,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,79,"II","Yes",0.511805915832,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
4,0,"IT","No",-13.2315809727,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,1,"IT","Yes",0.569158887863,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,2,"IT","No",0.673577928543,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,3,"IT","Yes",0.571750879288,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,4,"IT","Yes",0.699734115601,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,5,"IT","Yes",0.502014017105,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,6,"IT","No",0.620046806335,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,7,"IT","No",0.603539943695,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,8,"IT","Yes",0.559842967987,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,9,"IT","No",0.443963003159,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,10,"IT","Yes",0.483951807022,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,11,"IT","No",0.620394945145,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,12,"IT","Yes",0.445606851578,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,13,"IT","No",0.563514137268,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,14,"IT","No",0.596024084091,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,15,"IT","Yes",0.488501930237,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,16,"IT","No",0.627365970612,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,17,"IT","Yes",0.610064172745,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,18,"IT","Yes",0.501346158981,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,19,"IT","No",0.825363016129,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,20,"IT","Yes",0.566465997696,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,21,"IT","No",0.472297906876,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,22,"IT","Yes",0.490816926956,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,23,"IT","No",0.786637020111,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,24,"IT","Yes",0.495805931091,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,25,"IT","Yes",0.537591028214,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,26,"IT","No",0.552397108078,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,27,"IT","No",0.519085025787,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,28,"IT","No",0.661463975906,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,29,"IT","No",0.48342499733,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,30,"IT","Yes",0.481201219559,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,31,"IT","Yes",0.417038011551,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,32,"IT","No",0.451664876938,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,33,"IT","No",0.532835006714,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,34,"IT","Yes",0.411611938477,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,35,"IT","Yes",0.416109991074,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,36,"IT","No",0.450576114654,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,37,"IT","No",0.490033960342,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,38,"IT","Yes",0.48438615799,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,39,"IT","Yes",0.57346405983,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,40,"IT","No",0.580461168289,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,41,"IT","No",0.672492074966,"lcmd",1,"Index","Middle",21,24,7,6,25,0,24
4,42,"IT","Yes",0.512243080139,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,43,"IT","Yes",0.44258813858,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
4,44,"IT","No",0.5794880867,"lalt",0,"Index","Middle",21,24,7,6,25,0,24
4,45,"IT","No",0.80703792572,"lalt",1,"Middle","Index",21,24,7,6,25,0,24
4,46,"IT","Yes",0.520798158646,"lalt",1,"Middle","Middle",21,24,7,6,25,0,24
4,47,"IT","Yes",0.476591920853,"lcmd",1,"Index","Index",21,24,7,6,25,0,24
